Unit,Year,Employed FT N,Employed FT %,Employed PT N,Employed PT %,Continuing Edu N,Continuing Edu %,Volunteering N,Volunteering %,Military N,Military %,Business N,Business %,Unplaced N,Unplaced %,Unresolved N,Unresolved %,Total N,Not Seeking N,Placement Rate %
College of Information,2020,189,74%,6,2%,18,7%,0,0%,2,1%,5,2%,14,5%,22,9%,256,1,86.0%
The A. James Clark School of Engineering,2020,780,80%,7,1%,117,12%,4,0%,6,1%,3,0%,14,1%,38,4%,969,3,95.0%
Philip Merrill College of Journalism,2020,77,62%,10,8%,9,7%,0,0%,1,1%,5,4%,1,1%,21,17%,124,0,82.0%
"School of Architecture, Planning, and Preservation",2020,35,58%,1,2%,13,22%,2,3%,1,2%,2,3%,1,2%,5,8%,60,1,90.0%
School of Public Health,2020,261,49%,24,5%,153,29%,3,1%,1,0%,7,1%,4,1%,80,15%,533,5,84.0%
School of Public Policy,2020,33,66%,2,4%,12,24%,0,0%,0,0%,0,0%,0,0%,3,6%,50,0,94.0%
The Robert H. Smith School of Business,2020,631,75%,13,2%,133,16%,0,0%,4,0%,4,0%,1,0%,57,7%,843,7,93.0%
College Park Scholars,2020,436,70%,20,3%,118,19%,8,1%,3,0%,3,0%,3,0%,36,6%,627,3,94.0%
Honors College,2020,495,66%,24,3%,179,24%,8,1%,4,1%,4,1%,5,1%,35,5%,754,4,94.0%
Letters and Sciences,2020,1219,69%,60,3%,258,15%,13,1%,14,1%,20,1%,26,1%,151,9%,1761,12,90.0%
Undergraduate Studies,2020,14,74%,0,0%,3,16%,0,0%,0,0%,0,0%,1,5%,1,5%,19,0,90.0%
University-wide,2021,3650,66%,136,2%,1363,24%,29,1%,32,1%,52,1%,42,1%,263,5%,5567,37,94.0%
College of Agriculture and Natural Resources,2021,95,55%,7,4%,49,28%,4,2%,0,0%,2,1%,4,2%,13,7%,174,0,91.0%
College of Arts and Humanities,2021,321,58%,23,4%,150,27%,7,1%,4,1%,15,3%,7,1%,27,5%,554,8,94.0%
College of Behavioral and Social Sciences,2021,605,56%,46,4%,333,31%,9,1%,7,1%,5,0.5%,8,1%,62,6%,1075,6,93.0%
"College of Computer, Mathematical, and Natural Sciences",2021,778,65%,19,2%,332,28%,5,0%,6,1%,7,0.6%,9,1%,44,4%,1200,9,95.0%
College of Education,2021,87,81%,2,2%,17,16%,0,0%,0,0%,0,0.0%,0,0%,1,1%,107,0,99.0%
College of Information,2021,245,79%,5,2%,37,12%,1,0%,5,2%,4,1.3%,4,1%,11,4%,312,1,95.0%
The A. James Clark School of Engineering,2021,758,80%,5,1%,155,16%,0,0%,6,1%,5,0.5%,8,1%,13,1%,950,2,98.0%
Philip Merrill College of Journalism,2021,83,72%,9,8%,11,10%,0,0%,0,0%,1,0.9%,0,0%,11,10%,115,0,90.0%
"School of Architecture, Planning, and Preservation",2021,43,52%,2,2%,33,40%,1,1%,1,1%,0,0.0%,0,0%,3,4%,83,1,96.0%
School of Public Health,2021,227,49%,18,4%,180,39%,4,1%,3,1%,4,0.9%,3,1%,26,6%,465,3,93.0%
School of Public Policy,2021,32,52%,2,3%,23,37%,2,3%,1,2%,1,1.6%,0,0%,1,2%,62,0,98.0%
The Robert H. Smith School of Business,2021,595,70%,8,1%,160,19%,1,0%,1,0%,10,1.2%,0,0%,70,8%,845,10,92.0%
College Park Scholars,2021,358,64%,15,3%,158,28%,3,1%,2,0.4%,3,1%,2,0.4%,19,3%,560,3,96.6%
Honors College,2021,407,62%,14,2%,205,31%,6,1%,1,0%,4,1%,2,0%,17,3%,656,10,97.0%
Letters and Sciences,2021,1048,67%,48,3%,318,20%,12,1%,15,1%,11,1%,18,1%,91,6%,1561,8,93.0%
Undergraduate Studies,2021,14,74%,0,0%,5,26%,0,0%,0,0%,0,0.0%,0,0%,0,0%,19,0,100.0%
University-wide,2022,4080,67%,352,6%,1284,21%,27,0.4%,53,1%,40,1%,24,0.4%,249,4%,6109,63,95.6%
College of Agriculture and Natural Resources,2022,98,49%,18,9%,59,30%,2,1%,1,1%,4,2%,2,1%,16,8%,200,1,91.0%
College of Arts and Humanities,2022,389,62%,70,11%,129,21%,5,1%,4,1%,5,1%,4,1%,21,3%,627,13,96.0%
College of Behavioral and Social Sciences,2022,665,55%,95,8%,365,30%,7,1%,9,1%,9,1%,3,0%,47,4%,1200,9,96.0%
"College of Computer, Mathematical, and Natural Sciences",2022,980,69%,70,5%,287,20%,9,1%,11,1%,5,0.4%,4,0.3%,57,4%,1423,12,95.7%
College of Education,2022,45,76%,1,2%,9,15%,0,0%,0,0%,0,0.0%,0,0.0%,4,7%,59,0,93.0%
College of Information,2022,288,82%,15,4%,28,8%,1,0%,3,1%,2,0.6%,3,0.9%,10,3%,350,2,96.1%
The A. James Clark School of Engineering,2022,827,85%,2,0%,111,11%,2,0.2%,18,2%,0,0%,2,0.2%,6,1%,968,5,98.8%
Philip Merrill College of Journalism,2022,99,68%,23,16%,11,8%,0,0%,0,0%,3,2%,0,0%,9,6%,145,1,94.0%
"School of Architecture, Planning, and Preservation",2022,77,71%,6,6%,21,19%,1,1%,1,1%,0,0%,1,1%,2,2%,109,0,97.0%
School of Public Health,2022,190,40%,51,11%,202,42%,2,0%,5,1%,2,0%,4,1%,20,4%,476,14,95.0%
School of Public Policy,2022,55,67%,3,4%,21,26%,1,1%,1,1%,1,1%,0,0%,0,0%,82,0,100.0%
The Robert H. Smith School of Business,2022,656,72%,25,3%,148,16%,0,0%,1,0.1%,13,1%,2,0.2%,68,7%,913,11,92.8%
College Park Scholars,2022,372,64%,38,7%,140,24%,4,1%,0,0%,4,1%,2,0%,22,4%,582,2,96.0%
Honors College,2022,454,68%,25,4%,163,24%,7,1%,3,0%,2,0%,1,0%,16,2%,671,13,98.0%
Letters and Sciences,2022,1075,68%,98,6%,299,19%,7,0%,17,1%,9,1%,9,1%,70,4%,1584,23,95.0%
Undergraduate Studies,2022,7,64%,1,9%,1,9%,0,0%,0,0.0%,0,0%,0,0.0%,2,18%,11,0,82.0%
University-wide,2023,3559,65.6%,306,5.6%,1155,21.3%,39,0.7%,31,0.6%,29,0.5%,36,0.7%,268,4.9%,5423,41,94.4%
College of Agriculture and Natural Resources,2023,97,56.4%,12,7.0%,47,27.3%,4,2.3%,2,1.2%,1,0.6%,1,0.6%,8,4.7%,172,2,94.7%
College of Arts and Humanities,2023,331,63.3%,52,9.9%,109,20.8%,5,1.0%,6,1.1%,6,1.1%,0,0.0%,14,2.7%,523,7,97.3%
College of Behavioral and Social Sciences,2023,580,54.1%,95,8.9%,314,29.3%,18,1.7%,9,0.8%,7,0.7%,5,0.5%,44,4.1%,1072,10,95.4%
"College of Computer, Mathematical, and Natural Sciences",2023,681,66.1%,64,6.2%,231,22.4%,6,0.6%,3,0.3%,4,0.4%,9,0.9%,32,3.1%,1030,1,96.0%
College of Education,2023,89,80.9%,9,8.2%,10,9.1%,1,0.9%,0,0.0%,0,0.0%,1,0.9%,0,0.0%,110,2,99.1%
College of Information,2023,221,9%,10,4%,33,3%,1,3%,4,4%,4,4%,3,0%,15,2%,291,2,98.0%
The A. James Clark School of Engineering,2023,711,82.1%,1,0.1%,128,14.8%,3,0.3%,3,0.3%,2,0.2%,4,0.5%,14,1.6%,866,7,97.9%
Philip Merrill College of Journalism,2023,74,84.1%,8,9.1%,3,3.4%,0,0.0%,0,0.0%,1,1.1%,0,0.0%,2,2.3%,88,0,97.7%
"School of Architecture, Planning, and Preservation",2023,71,78.0%,3,3.3%,15,16.5%,1,1.1%,0,0.0%,0,0.0%,0,0.0%,1,1.1%,91,1,98.9%
School of Public Health,2023,190,43.7%,40,9.2%,177,40.7%,3,0.7%,2,0.5%,1,0.2%,4,0.9%,18,4.1%,435,5,95.0%
School of Public Policy,2023,48,53.9%,12,13.5%,24,27.0%,2,2.2%,1,1.1%,0,0.0%,0,0.0%,2,2.2%,89,0,97.8%
The Robert H. Smith School of Business,2023,709,67.6%,24,2.3%,163,15.5%,0,0.0%,4,0.4%,6,0.6%,10,1.0%,133,12.7%,1049,8,86.3%
College Park Scholars,2023,362,69%,23,4%,124,24%,3,0.6%,1,0.2%,2,0.4%,2,0.4%,9,2%,526,7,97.6%
Honors College,2023,377,65%,22,4%,157,27%,4,0.7%,0,0.0%,1,0.2%,3,0.5%,17,3%,581,2,96.5%
Letters and Sciences,2023,1038,65.3%,106,6.7%,295,18.6%,9,0.6%,12,0.8%,14,0.9%,10,0.6%,106,7%,1590,9,92.4%
Undergraduate Studies,2023,5,56%,0,0%,2,22%,1,11%,1,11.1%,0,0.0%,0,0%,0,0%,9,0,100.0%
University-wide,2024,3132,60.2%,462,8.9%,1048,20.1%,25,0.5%,20,0.4%,49,0.9%,43,0.8%,423,8.1%,5202,45,91.1%
College of Agriculture and Natural Resources,2024,104,58.8%,20,11.3%,38,21.5%,2,1.1%,0,0.0%,2,1.1%,1,0.6%,10,5.6%,177,3,93.8%
College of Arts and Humanities,2024,350,59.8%,74,12.6%,113,19.3%,7,1.2%,7,1.2%,9,1.5%,3,0.5%,22,3.8%,585,3,95.7%
College of Behavioral and Social Sciences,2024,514,50.3%,88,8.6%,302,29.6%,6,0.6%,2,0.2%,9,0.9%,4,0.4%,96,9.4%,1021,11,90.2%
"College of Computer, Mathematical, and Natural Sciences",2024,750,61.7%,110,9.1%,220,18.1%,6,0.5%,2,0.2%,7,0.6%,19,1.6%,101,8.3%,1215,7,90.1%
College of Education,2024,90,78.3%,13,11.3%,8,7.0%,0,0.0%,0,0.0%,1,0.9%,0,0.0%,3,2.6%,115,2,97.4%
College of Information,2024,195,58.4%,32,9.6%,51,15.3%,0,0.0%,2,0.6%,4,1.2%,4,1.2%,46,13.8%,334,2,85.0%
The A. James Clark School of Engineering,2024,305,75.1%,5,1.2%,64,15.8%,0,0.0%,4,1.0%,1,0.2%,4,1.0%,23,5.7%,406,1,93.3%
Philip Merrill College of Journalism,2024,62,67.4%,14,15.2%,8,8.7%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,8,8.7%,92,1,91.3%
"School of Architecture, Planning, and Preservation",2024,67,62.0%,12,11.1%,19,17.6%,0,0.0%,0,0.0%,0,0.0%,1,0.9%,9,8.3%,108,1,90.8%
School of Public Health,2024,164,40.2%,67,16.4%,130,31.9%,2,0.5%,2,0.5%,2,0.5%,3,0.7%,38,9.3%,408,5,90.0%
School of Public Policy,2024,38,49.4%,10,13.0%,24,31.2%,2,2.6%,0,0.0%,0,0.0%,0,0.0%,3,3.9%,77,0,96.1%
The Robert H. Smith School of Business,2024,669,68.1%,41,4.2%,163,16.6%,3,0.3%,1,0.1%,14,1.4%,4,0.4%,88,9.0%,983,12,90.6%
College Park Scholars,2024,348,60.0%,53,9.1%,127,21.9%,4,0.7%,3,0.5%,3,0.5%,4,0.7%,38,6.6%,580,4,92.7%
Honors College,2024,295,60.5%,28,5.7%,128,26.2%,3,0.6%,0,0.0%,2,0.4%,3,0.6%,29,5.9%,488,3,93.5%
Letters and Sciences,2024,1002,62.0%,132,8.2%,271,16.8%,5,0.3%,6,0.4%,22,1.4%,12,0.7%,166,10.3%,1616,16,89.0%
Undergraduate Studies,2024,7,50.0%,2,14.3%,2,14.3%,0,0.0%,0,0.0%,3,21.4%,0,0.0%,0,0.0%,14,0,100.0%
